transactionslist,cnt
"smartphone,smartphone,oven",2
"microwave,refrigerators,smartphone,refrigerators",2
"tv,washer,vacuum",2
"tv,microwave,smartphone",2
"washer,clocks",2
"smartphone,smartphone,smartphone,telephone,tablet",2
"washer,washer,vacuum,washer",2
"desktop,tv",2
"vacuum,welding,smartphone",2
"smartphone,smartphone,subwoofer,subwoofer",2
"headphone,smartphone,clocks,smartphone",2
"refrigerators,hob,washer,washer",2
"hood,microwave",2
"smartphone,smartphone,washer,washer",2
"vacuum,vacuum,sewing_machine,sewing_machine,vacuum,vacuum,vacuum",2
"iron,tv",2
"vacuum,vacuum,blender",2
"refrigerators,oven,hood,microwave,washer",2
"smartphone,drill,drill",2
"smartphone,smartphone,notebook,tablet",2
"kettle,vacuum",2
"refrigerators,microwave",2
"dishwasher,hob",2
"smartphone,washer,washer,smartphone,refrigerators,washer",1
"tablet,generator",1
